englishTitle;title;actionType;type;level;traits;traditions;castTime;muse;trigger;range;objectives;area;defense;duration;description;heightenings
TRICKSTER'S TWIN;GEMELO DEL BROMISTA;two-actions;FOCO;4;POCO-COMÚN CLÉRIGO CONCENTRAR FOCO ILUSIÓN MANIPULAR VISUAL;;;;;30 pies (9 m); 1 criatura;;Voluntad; 1 minuto;"Raramente te conformas con estar en un solo lugar. Elige una ubicación a 100 pies (30 m) o menos del objetivo, y que éste puede ver. Creas una ilusión de ti mismo que sólo el objetivo puede ver y que imita todas tus acciones. El objetivo tiene que llevar a cabo una salvación de Voluntad.
Éxito crítico El objetivo no resulta afectado Éxito El objetivo cree que estás en la ubicación designada y no puede verte en tu ubicación real. Automáticamente descree la ilusión cuando utilizas una acción que no tiene sentido donde está la ilusión, o si el objetivo ataca, toca, Busca o interacciona de alguna otra forma con la misma. Si utilizas acciones hostiles contra el objetivo, el conjuro se acaba.
Fallo Igual que en éxito, pero el objetivo ha de tener éxito en una salvación de Voluntad para descreer la ilusión cuando tiene lugar uno de los acontecimientos indicados.
Fallo crítico Igual que en éxito, pero el objetivo ha de obtener un éxito crítico en una salvación de Voluntad para descreer la ilusión cuando tiene lugar uno de los acontecimientos indicados.";
DISPELLING GLOBE;GLOBO DISIPADOR;two-actions;CONJURO;4;CONCENTRAR MANIPULAR POLIMORFÍA;arcana, divina, ocultista;;;;;;explosión de 10 pies (3 m) centrada en una esquina de tu espacio.;;10 minutos;Creas un globo inmóvil a tu alrededor, que trata de contrarrestar cualquier conjuro del exterior del mismo cuya área u objetivos entren en él, como si el globo fuera un conjuro de disipar magia 1 rango inferior a su rango de conjuro real. Con un éxito, el globo sólo evita la parte del conjuro que hubiera entrado en el mismo (así que si el conjuro también tiene objetivos fuera del globo, o parte de su área de efecto esta más allá del mismo, dichos objetivos o dicha área se ven afectados con normalidad). Tienes que formar la esfera en un espacio abierto ininterrumpido de forma que sus bordes no atraviesen criatura u objeto alguno, o el conjuro se pierde (aunque las criaturas pueden entrar en el globo una vez lanzado el conjuro).;
SURE STRIKE;GOLPE SEGURO;one-action;CONJURO;1;CONCENTRAR FORTUNA;arcana, ocultista;;;;;;;;hasta el final de tu siguiente turno.;Un atisbo del el futuro se asegura de que tu siguiente impacto resulta certero. La próxima vez que hagas una tirada de ataque antes del final de tu turno, podrás hacer dos veces la tirada de ataque y quedarte con el mejor resultado. El ataque ignora cualquier penalizador por circunstancia a la tirada de ataque y cualquier prueba plana requerida debido a que el objetivo está oculto o escondido.;
GREASE;GRASA;two-actions;CONJURO;1;CONCENTRAR MANIPULAR;arcana, primigenia;;;;30 pies (9 m); 1 objeto de Impedimenta 1 o menos; 4 casillas contiguas de 5 pies;;1 minuto;"Conjuras grasa, eligiendo un área o un objetivo.
Todas las criaturas que están de pie en la superficie recubierta de grasa deben tener éxito en una salvación de Reflejos o una prueba de Acrobacias contra tu CD de conjuros o caer tumbadas. Toda criatura que utilice una acción para moverse por la superficie grasa mientras dure el conjuro tendrá que hacer una salvación de Reflejos o una prueba de Acrobacias para Mantener el equilibrio. Una criatura que da un Paso o Gatea no tiene que hacer prueba o salvación alguna.
• Objetivo Si Lanzas el conjuro sobre un objeto desatendido, quien intente hacerse con él deberá tener éxito en una prueba de Acrobacias o una salvación de Reflejos contra tu CD de conjuros para conseguirlo. Si designas como objetivo a un objeto atendido, el portador del objeto tiene que hacer una prueba de Acrobacias o una salvación de Reflejos. Con un fallo, quien lo tiene o lo empuña sufre un penalizador -2 por circunstancia a todas las pruebas que implican utilizarlo; con un fallo crítico, se le cae. El objeto aterriza en una casilla adyacente a elección del DJ. Si Lanzas este conjuro sobre un objeto puesto, el portador obtiene un bonificador +2 por circunstancia a las salvaciones de Fortaleza contra los intentos de apresarlo.";
ARCTIC RIFT;GRIETA ÁRTICA;two-actions;CONJURO;8;CONCENTRAR FRÍO MANIPULAR;arcana, primigenia;;;;;;línea de 120 pies (36 m);Fortaleza;;"Una grieta irregular se abre en el aire, infligiendo 12d8 daño por frío al absorber el calor. Cada criatura junto a la grieta tiene que hacer una salvación de Fortaleza.
Éxito crítico La criatura no resulta afectada.
Éxito La criatura sufre mitad de daño.
Fallo La criatura sufre daño completo y queda lentificada 1 hasta el final de tu siguiente turno.
Fallo crítico La criatura sufre doble daño, queda inmovilizada por una capa de hielo y lentificada 1 mientras permanece inmovilizada. El hielo es un objeto con 60 Puntos de Golpe, Dureza 5, inmunidad al daño por frío y vulnerabilidad 10 al fuego. Tiene inmunidades de objeto (pág.
269) y queda destruido si el objetivo Huye.";Potenciado (+1) El daño se incrementa en 1d8 y los Puntos de Golpe del hielo se incrementan en 5.
CRY OF DESTRUCTION;GRITO DE DESTRUCCIÓN;two-actions;FOCO;1;POCO-COMÚN CLÉRIGO CONCENTRAR FOCO MANIPULAR SÓNICO;;;;;;;cono de 15 pies (4,5 m);Fortaleza básica;;Tu voz resuena, destrozando lo que hay ante ti. Cada criatura y objeto desatendido en el área sufre 1d8 daño sónico. Si ya has infligido daño a un enemigo este turno con un Golpe o conjuro incrementa a d12 los dados de daño de este conjuro.;Potenciado (+1) El daño se incrementa en 1d8.
SPIRITUAL GUARDIAN;GUARDIÁN ESPIRITUAL;two-actions;CONJURO;5;CONCENTRAR MANIPULAR POLIMORFÍA;divina;;;;120 pies (36 m);;;;mantenido hasta 1 minuto;"Un guardián de tamaño Mediano hecho de fuerza mágica aparece en un espacio sin ocupar dentro del alcance. El guardián espiritual es translúcido y empuña un eco fantasmal de un arma que empuñas o llevas. Si tienes un dios, adopta la forma de uno de los asistentes o servidores del mismo. Si santificas el conjuro, sus ataques también son santificados.
Las criaturas pueden atravesar el espacio del guardián, pero no acabar su movimiento en el mismo. Tus aliados y tú podéis flanquear con él. Carece de cualquier otro atributo que pueda tener normalmente una criatura, aparte de 50 Puntos de Golpe que no puede recuperar en modo alguno y que sólo puede perder protegiendo a una criatura (ver a continuación).
Cuando Lanzas el conjuro y cada vez que lo Mantienes, puedes hacer que el guardián se mueva a cualquier espacio no ocupado a 120 pies (36 m) o menos de ti y, o bien ataque, o bien te proteja.
• Ataque El guardián hace un ataque de conjuro cuerpo a cuerpo contra una criatura adyacente, infligiendo 3d8 daño con un impacto (o doble daño con un impacto crítico). El tipo de daño es el mismo que el del arma elegida (o cualquiera de sus tipos para un arma versátil). En su lugar, el ataque inflige daño espiritual si eso perjudica más a la criatura (a determinar por el DJ). Este ataque utiliza tu penalizador por ataque múltiple y contribuye al mismo.
• Protección El guardián protege a una criatura designada por ti.
Cada vez que la criatura elegida sufriría daño y el guardián está adyacente a ella, el guardián se anota los primeros 10 puntos de daño en lugar del aliado. Esta protección durará hasta que ordenes al guardián que ataque o que proteja a una criatura diferente o hasta que el guardián quede destruido.";Potenciado (+2) El daño del guardián se incrementa en 1d8 y sus Puntos de Golpe se incrementan en 20.
TRUESPEECH;HABLA VERDADERA;two-actions;CONJURO;5;POCO-COMÚN CONCENTRAR MANIPULAR;arcana, divina, ocultista;;;;toque; 1 criatura;;;1 hora;El objetivo puede entender todas las palabras, sea cual sea el idioma y también habla los idiomas de las demás criaturas. Cuando se encuentra en un grupo mixto de criaturas, cada vez que el objetivo habla puede elegir a una criatura y hablar en un idioma que ésta entiende, incluso si no sabe de qué idioma se trata.;Potenciado (7.º) La duración es 8 horas.
SPEAK WITH STONES;HABLAR CON LAS PIEDRAS;two-actions;CONJURO;5;CONCENTRAR MANIPULAR TIERRA;divina, ocultista, primigenia;;;;;;;;1 hora;Puedes formular preguntas a la piedra natural o trabajada y recibir respuestas de ella. Si bien la piedra no es inteligente, con quien hablas es con los espíritus naturales de la piedra, que tienen una personalidad coloreada por el tipo de piedra, así como por el tipo de estructura de la que forma parte la misma, en el caso de la piedra trabajada. La perspectiva, la Percepción y el conocimiento de la piedra le conceden una visión del mundo lo bastante diferente de la de un humano como para considerar importantes los mismos detalles. Las piedras pueden responder sobre todo preguntas acerca de las criaturas que las han tocado en el pasado y de lo que hay oculto debajo o detrás de las mismas.;Potenciado (6.º) La duración es 8 horas.
SPEAK WITH PLANTS;HABLAR CON LAS PLANTAS;two-actions;CONJURO;3;CONCENTRAR MADERA MANIPULAR PLANTA;divina, ocultista, primigenia;;;;;;;;1 hora;Puedes formular preguntas a las plantas y a los hongos y recibir respuestas de ellos, pero el conjuro no vuelve a unos y otras más amistosos o inteligentes de lo normal. La mayoría de las plantas y hongos normales tienen una visión distintiva del mundo que les rodea, por lo que no reconocen detalles acerca de las criaturas o conocen poca cosa acerca del mundo más allá de lo que tienen más cerca. Es probable que las plantas o los hongos inteligentes sean escuetos y evasivos, mientras que los menos inteligentes harán a menudo comentarios irrelevantes.;Potenciado (4.º) La duración es 8 horas.
SPEAK WITH ANIMAL;HABLAR CON LOS ANIMALES;two-actions;CONJURO;2;CONCENTRAR MANIPULAR;primigenia;;;;;;;;1 hora;Puedes formular preguntas, obtener respuestas y utilizar la habilidad Diplomacia con los animales. El conjuro no les hace más amistosos de lo normal. Es probable que los animales más astutos sean escuetos y evasivos, mientras que los menos inteligentes harán a menudo comentarios irrelevantes.;
CHARM;HECHIZAR;two-actions;CONJURO;1;CONCENTRAR EMOCIÓN INCAPACITACIÓN MANIPULAR MENTAL SUTIL;arcana, ocultista, primigenia;;;;30 pies (9 m); 1 criatura;;Voluntad; 1 hora;"Para el objetivo, tus palabras son melifluas y tu rostro parece bañado en una bruma onírica. Tiene que hacer una salvación de Voluntad, con un bonificador +4 por circunstancia si tus aliados o tú lo habéis amenazado recientemente o utilizado acciones hostiles en su contra.
Puedes Disipar el conjuro. Si utilizas acciones hostiles contra el objetivo, el conjuro se acaba. Si ello sucede, el objetivo no se da cuenta necesariamente de que estaba hechizado a menos que su amistad contigo o las acciones que le has convencido de llevar a cabo choquen con sus expectativas, lo que significa que podrías potencialmente convencerle de continuar siendo tu amigo por medios mundanos.
Éxito crítico El objetivo no resulta afectado pero es consciente de que has intentado hechizarlo.
Éxito El objetivo no resulta afectado pero cree que tu conjuro era algo inofensivo en lugar de hechizar, si no identifica el conjuro (ver Cómo identificar conjuros en la pág. 303).
Fallo La actitud del objetivo se vuelve amistosa hacia ti. Si ya era amistosa, se vuelve solícita. No puede utilizar acciones hostiles contra ti.
Fallo crítico La actitud del objetivo se vuelve solícita hacia ti, y no puede utilizar acciones hostiles contra ti.";"Potenciado (4.º) La duración es hasta tus siguientes preparativos diarios.
Potenciado (8.º) La duración es hasta tus siguientes preparativos diarios y puedes designar como objetivo hasta 10 criaturas."
HEROISM;HEROÍSMO;two-actions;CONJURO;3;CONCENTRAR MANIPULAR MENTAL;divina, ocultista;;;;toque; 1 criatura;;;10 minutos;Liberas el heroísmo interior del objetivo, concediéndole un bonificador +1 por estatus a las tiradas de ataque, pruebas de Percepción, tiradas de salvación y pruebas de habilidad.;"Potenciado (6.º) El bonificador por estatus se incrementa a +2.
Potenciado (9.º) El bonificador por estatus se incrementa a +3."
CLINGING ICE;HIELO AFERRANTE;one-action;TRUCO;1;POCO-COMÚN BRUJO FRÍO TRUCO MALEFICIO MANIPULAR;;;;;Patrón Silencio en la nieve 30 pies (9 m); 1 criatura;;Reflejos; mantenido hasta 1 minuto;"Aguanieve helada y una fuerte nevada se concentran en los pies y en las piernas del objetivo infligiendo 1d4 daño por frío y otros efectos dependiendo de su salvación de Reflejos.
Éxito crítico El objetivo no resulta afectado Éxito El objetivo sufre mitad de daño.
Fallo El objetivo sufre daño completo y un penalizador -5 pies (1,5 m) por circunstancia a sus Velocidades hasta que se acaba el conjuro.";Fallo El objetivo sufre doble daño y un penalizador -10 pies (3 m) por circunstancia a sus Velocidades hasta que se acaba el conjuro Potenciado (+1) El daño se incrementa en 1d4.
HYMN OF HEALING;HIMNO DE CURACIÓN;two-actions;FOCO;1;POCO-COMÚN BARDO COMPOSICIÓN CONCENTRAR FOCO CURACIÓN VITALIDAD;;;;;30 pies (9 m); o 1 aliado;;;mantenido hasta 4 asaltos;Tu glorioso cántico remienda las heridas y proporciona un respiro temporal contra el dolor. El objetivo obtiene curación rápida 2. Cuando Lanzas el conjuro y la primera vez cada asalto en que lo Mantienes, el objetivo obtiene 2 Puntos de Golpe temporales que duran 1 asalto.;Potenciado (+1) Tanto la curación rápida como los Puntos de Golpe temporales se incrementan en 2.
RALLYING ANTHEM;HIMNO DE REAGRUPAMIENTO;one-action;TRUCO;2;POCO-COMÚN BARDO COMPOSICIÓN CONCENTRAR EMOCIÓN MENTAL TRUCO;;;;;;;emanación de 60 pies (18 m);;1 asalto;Tu canción anima a tus aliados a protegerse de forma más efectiva. Tú y todos tus aliados en el área obtenéis un bonificador +1 por estatus a la CA y a las tiradas de salvación, así como una resistencia al daño físico igual a la mitad del rango del conjuro.;
Courageous Anthem;HIMNO VALEROSO;one-action;TRUCO;1;POCO-COMÚN BARDO COMPOSICIÓN CONCENTRAR EMOCIÓN MENTAL TRUCO;;;;;;;emanación de 60 pies (18 m);;1 asalto;Te inspiras a ti mismo y a tus aliados con palabras o canciones de ánimo. Tú y todos tus aliados en el área obtenéis un bonificador +1 por estatus a las tiradas de ataque, tiradas de daño y salvaciones contra los efectos de miedo.;
HYPERCOGNITION;HIPERCOGNICIÓN;one-action;CONJURO;3;CONCENTRAR;ocultista;;;;;;;;;Catalogas rápidamente y reúnes información relevante a tu situación actual. Puedes utilizar instantáneamente hasta 6 acciones de Recordar conocimiento como parte de Lanzar este conjuro. Para dichas acciones, no puedes usar ninguna aptitud especial, reacción o acción gratuita que se desencadenan cuando Recuerdas conocimiento.;
HYPNOTIZE;HIPNOTIZAR;two-actions;CONJURO;3;DISIMULADO ILUSIÓN MANIPULAR VISUAL;arcana, ocultista;;;;120 pies (36 m);; explosión de 10 pies (3 m);Voluntad; mantenido hasta 1 minuto;"Creas una nube de esquemas y colores hipnóticos que flota en el aire.
Las criaturas en el interior de la nube quedan deslumbradas. Además, una criatura tiene que hacer una salvación de Voluntad si está en el interior de la nube cuando la lanzas, cuando entra en la misma, cuando acaba su turno en ella o si utiliza una prueba de Buscar o de Interactuar estando dentro de la nube. Una criatura fascinada por hipnotizar no hace nuevas salvaciones.
Éxito El objetivo no resulta afectado.
Fallo El objetivo queda fascinado por la nube.
Fallo crítico El objetivo queda fascinado por la nube. Mientras está fascinado, no puede utilizar reacciones.";
IGNITION;IGNICIÓN;two-actions;TRUCO;1;ATAQUE CONCENTRAR FUEGO MANIPULAR TRUCO;arcana, primigenia;;;;30 pies (9 m); 1 criatura;;CA;;"Chasqueas los dedos y señalas a un objetivo, que empieza a arder. Haz una tirada de ataque de conjuro contra la CA del objetivo, infligiendo 2d4 daño por fuego con un impacto. Si el objetivo está a tu alcance de cuerpo a cuerpo puedes elegir un ataque de conjuro cuerpo a cuerpo en lugar de un ataque de conjuro a distancia, lo que incrementa todos los dados de daño del conjuro a d6.
Éxito crítico El objetivo sufre doble daño y 1d4 daño persistente por fuego.
Éxito El objetivo sufre daño completo.";Potenciado (+1) El daño inicial se incrementa en 1d4 y el daño persistente por fuego con un impacto crítico se incrementa en 1d4..
IMPLOSION;IMPLOSIÓN;two-actions;CONJURO;9;CONCENTRAR MANIPULAR;arcana, primigenia;;;;30 pies (9 m); 1 criatura corporal;;Fortaleza básica; mantenida hasta 1 minuto;"Aplastas al objetivo haciendo que se colapse sobre sí mismo, infligiendo 75 daño. La primera vez de cada asalto en que Mantengas el conjuro, deberás elegir un nuevo objetivo para que se vea sujeto al mismo efecto; la misma criatura no puede ser designada como objetivo más de una sola vez por un solo lanzamiento de este conjuro. Tampoco puedes afectar a más de una criatura por turno con implosión. No puedes designar como objetivo a una criatura incorporal, gaseosa o líquida o que de alguna otra forma carece de forma sólida.";Potenciado (+1) El daño se incrementa en 10.
EMBED MESSAGE;INCRUSTAR MENSAJE;two-actions;CONJURO;2;CONCENTRAR ILUSIÓN MANIPULAR;arcana, ocultista;;;;toque; 1 objetivo o criatura voluntaria;;;ilimitada;Especificas un desencadenante y un mensaje de hasta 25 palabras de longitud. Cuando el desencadenante especificado tiene lugar a 30 pies (9 m) o menos del objetivo, un texto ilusorio de tu mensaje rodea al objetivo acompañado por una voz incorporal. Puedes elegir un idioma de los que conoces para el texto y la voz y puedes elegir cómo suena ésta. Una vez completado el mensaje, el conjuro se acaba.;"Potenciado (4.º) Puedes añadir un componente sensorial sencillo para enfatizar el mensaje, como por ejemplo un olor, un efecto visual o una sensación física. Esta adición es obviamente ilusoria y parte del mensaje, y sólo dura mientras el mensaje está siendo leído.
Potenciado (6.º) Como en 4.º rango, pero puedes elegir cuántas veces se repite el mensaje antes de que se acabe el conjuro; no hay límite al número de repeticiones."
INDESTRUCTIBILITY;INDESTRUCTIBILIDAD;two-actions;CONJURO;10;CONCENTRAR MANIPULAR;arcana, divina, ocultista, primigenia;;;;;;;;hasta el inicio de tu siguiente turno;Cortas tus lazos entre causa y efecto. Mientras dura el conjuro, eres inmune a cualquier efecto o daño que te podría dañar, excluyendo los causados por artefactos, poder de los dioses y orígenes similarmente poderosos. Podrás permitir de forma selectiva que te afecte cualquier cosa que estés dispuesto a que te afecte.;
INFUSE VITALITY;INFUNDIR VITALIDAD;one-action A three-actions;CONJURO;1;CONCENTRAR MANIPULAR VITALIDAD;divina;;;;30 pies (9 m); 1 a 3 criaturas voluntarias;;;1 minuto;"Potencias tus ataques con energía vital. El número de objetivos es igual al número de acciones que inviertes lanzando este conjuro.
Los Golpes sin armas y con armas de cada objetivo infligen 1d4 daño adicional por vitalidad (este tipo de daño sólo suele dañar a los muertos vivientes, tal y como se explica en la pág. 409). Si tienes el rasgo sagrado, puedes añadirlo a este conjuro y a los Golpes afectados por el mismo.";"Potenciado (3.º) El daño se incrementa a 2d4.
Potenciado (5.º) El daño se incrementa a 3d4."
DIVINE INMOLATION;INMOLACIÓN DIVINA;two-actions;CONJURO;5;CONCENTRAR ESPÍRITU FUEGO MANIPULAR SANTIFICADO;divina;;;;120 pies (36 m);; explosión de 20 pies (6 m);Reflejos;;"Llamas divinas afectan a todas las criaturas en el interior del área. Dichas criaturas sufren 6d6 daño por fuego y 2d6 daño persistente por fuego. El poder divino de las llamas chamusca también el espíritu; una criatura sufre daño espiritual en lugar de daño por fuego de inmolación divina si resulta más dañino para la criatura (a determinar por el DJ).
Éxito crítico La criatura no resulta afectada.
Éxito La criatura sufre mitad de daño, sin daño persistente.
Fallo La criatura sufre daño completo y daño persistente.
Fallo crítico La criatura sufre doble daño y doble daño persistente.";Potenciado (+1) El daño se incrementa en 1d6 y el daño persistente se incrementa también en 1d6.
DIVINE INSPIRATION;INSPIRACIÓN DIVINA;two-actions;CONJURO;8;CONCENTRAR MANIPULAR MENTAL;divina;;;;toque; 1 criatura voluntaria.;;;;Infundes a un objetivo con energía espiritual, renovando su magia. Si prepara conjuros, recupera un conjuro de 6.º rango o inferior previamente lanzado ese mismo día, que puede lanzar de nuevo. Si lanza conjuros espontáneamente, recupera uno de sus espacios de conjuro de 6.º rango o inferior. Si dispone de reserva de foco, recupera sus Puntos de Foco como si hubiera Reenfocado.;
INVISIBILITY;INVISIBILIDAD;two-actions;CONJURO;2;ILUSIÓN MANIPULAR DISIMULADO;arcana, ocultista;;;;toque; 1 criatura;;;10 minutos;Unas ilusiones retuercen la luz alrededor del objetivo, haciéndolo invisible. Esto lo convierte en no detectado para todas las criaturas, aunque éstas pueden intentar buscarlo, con lo que para ellas quedará escondido (pág. 434). Si el objetivo utiliza una acción hostil, el conjuro acaba una vez ésta se ha completado.;Potenciado (4.º) El conjuro dura 1 minuto pero no acaba si el objetivo utiliza una acción hostil.
INVOKE SPIRITS;INVOCAR ESPÍRITUS;two-actions;CONJURO;5;CONCENTRAR EMOCIÓN MANIPULAR MENTAL MIEDO VACÍO;arcana, divina, ocultista;;;;120 pies (36 m);; explosión de 10 pies (3 m);Voluntad; mantenido hasta 1 minuto;"Unas apariciones desastradas de personas muertas se alzan para acechar a los vivos. Infligen 2d4 daño mental y 2d4 daño por vacío a cada criatura viva en el área, que tiene que hacer una salvación básica de Reflejos. Además, las criaturas que fallan críticamente la salvación quedan asustadas 2 y huyen durante 1 asalto.
En asaltos subsiguientes, la primera vez que Mantengas el conjuro cada asalto, podrás mover el área hasta 30 pies (9 m) dentro del alcance del conjuro. Las criaturas vivas en la nueva área deberán hacer salvaciones con los mismos efectos arriba indicados, excepto que con un fallo crítico no huirán.";Potenciado (+2) El daño mental y el daño por vacío se incrementan en 1d4 cada uno.
DIVINE WRATH;IRA DIVINA;two-actions;CONJURO;4;CONCENTRAR ESPÍRITU MANIPULAR SANTIFICADO;divina;;;;120 pies (36 m);; explosión de 20 pies (6 m);Fortaleza;;"Canalizas la furia de la divinidad contra tus enemigos. Infliges 4d10 daño espiritual a tus enemigos en el área; cada enemigo tiene que hacer una salvación de Fortaleza.
Éxito crítico La criatura no resulta afectada.
Éxito La criatura sufre mitad de daño.
Fallo La criatura sufre daño completo y queda indispuesta 1.
Éxito El objetivo sufre daño completo.";Potenciado (+1) El daño inicial se incrementa en 1d4 y el daño persistente por fuego con un impacto crítico se incrementa en 1d4.
UNFETTERED PACK;JAURÍA INDÓMITA;two-actions;CONJURO;7;CONCENTRAR MANIPULAR;primigenia;;;;30 pies (9 m); hasta 10 criaturas;;;1 hora;Liberas a quienes viajan junto a ti de los obstáculos del medio ambiente. Los objetivos no sufren penalizadores por circunstancia a su Velocidad debido a los escombros, a la vegetación, al viento u otras propiedades del entorno y pueden ignorar el terreno difícil debido a dichas propiedades medioambientales.;Potenciado (9.º) Los objetivos ignoran también el terreno difícil mayor debido a las propiedades medioambientales.
HOUSE OF IMAGINARY WALLS;LA CASA DE LOS MUROS IMAGINARIOS;one-action;TRUCO;5;POCO-COMÚN BARDO COMPOSICIÓN ILUSIÓN MANIPULAR TRUCO VISUAL;;;;;toque;;;;1 asalto;"Expresas con mímica la creación de un muro de 10 × 10 pies (3 × 3 m) invisible, adyacente a ti y a tu alcance. El muro es sólido para las criaturas que no lo descreen, incluso las criaturas incorporales.
Tus aliados y tu podéis creer voluntariamente que el muro existe para continuar tratándolo como sólido, por ejemplo para subiros al mismo. Una criatura que descree la ilusión es temporalmente inmune a tu casa de los muros imaginarios durante 1 minuto. El muro no bloquea a las criaturas que no ven tu interpretación visual, ni bloquea a los objetos. El muro tiene CA 10, una Dureza igual al doble del rango de conjuro y tantos PG como 4 veces el rango del conjuro.";
DIVINE LANCE;LANZA DIVINA;two-actions;TRUCO;1;ATAQUE CONCENTRAR ESPÍRITU MANIPULAR SANTIFICADO TRUCO;divina;;;;60 pies (18 m); 1 criatura;;CA;;Desatas un rayo de energía divina. Haz un ataque de conjuro a distancia contra la CA del objetivo. Con un impacto, éste sufre 2d4 daño espiritual (doble daño con un impacto crítico).;Potenciado (+1) El daño se incrementa en 1d4.
READ OMENS;LEER AUGURIOS;;CONJURO;4;POCO-COMÚN CONCENTRAR MANIPULAR PREDICCIÓN;divina, ocultista;10 minutos;;;;;;;;Atisbas en el futuro. Elige un objetivo o actividad particular que planeas emprender en el plazo de 1 semana, o un suceso que esperas pueda tener lugar en el plazo de 1 semana. Averiguas un fragmento críptico de información o un consejo que podría ayudarte en el acontecimiento elegido, a menudo en forma de una rima o presagio.;
READ AURA;LEER EL AURA;;TRUCO;1;CONCENTRAR DETECCIÓN MANIPULAR TRUCO;arcana, divina, ocultista, primigenia;1 minuto;;;30 pies (9 m); 1 objeto;;;;"Te centras en el objeto objetivo, abriendo tu mente para percibir auras mágicas. Cuando el lanzamiento está completo, sabes si dicho objeto es mágico o no. Tú o cualquiera al que aconsejas acerca del aura obtiene un bonificador +2 por circunstancia a Identificar magia sobre el objeto. Si el objeto es ilusorio, detectas esto tan solo si el rango del efecto es menor que el de tu conjuro de leer el aura.
Potencial (6.º) Puedes designar como objetivo a cualquier número de objetos.";Potenciado (3.º) Puedes designar como objetivo hasta a 10 objetos.
READ FATE;LEER EL DESTINO;two-actions;FOCO;1;POCO-COMÚN CLÉRIGO CONCENTRAR FOCO MANIPULAR PREDICCIÓN;;;;;30 pies (9 m); 1 criatura distinta de ti;;;;"Tratas de averiguar más acerca del destino a corto plazo del objetivo, por lo general en un día para las criaturas más prosaicas, o la siguiente hora o menos para alguien que es probable que tenga múltiples experiencias rápidas, como por ejemplo alguien que se aventura de forma activa.
Averiguas una sola palabra enigmática conectada con el destino de la criatura en ese espacio de tiempo. El destino es notoriamente inescrutable y no necesariamente hay que tomarse la palabra al pie de la letra, por lo que su significado a menudo sólo queda claro en retrospectiva. El DJ hace una prueba plana CD 6 en secreto. Si el destino de las criaturas es demasiado incierto o si se falla la prueba plana, el conjuro arroja la palabra «no concluyente». De una u otra forma, a continuación el objetivo queda temporalmente inmune durante 24 horas.";
MIND READING;LEER LA MENTE;two-actions;CONJURO;3;POCO-COMÚN CONCENTRAR DETECCIÓN MANIPULAR;arcana, ocultista;;;;30 pies (9 m); 1 criatura;;Voluntad; 1 asalto o mantenido hasta 1 minuto;"Con un leve toque mental, tratas de leer la mente del objetivo, que tiene que hacer una salvación de Voluntad. A continuación, queda temporalmente inmune a tu lectura mental durante 1 hora.
Éxito crítico El objetivo percibe vagos pensamientos superficiales de tu parte cuando Lanzas el conjuro.
Éxito Descubres si el modificador por Inteligencia del objetivo es superior, igual o inferior al tuyo.
Fallo Percibes vagos pensamientos superficiales del objetivo cuando Lanzas el conjuro y averiguas si su Inteligencia es superior, igual o inferior a la tuya.
Fallo crítico Igual que fallo, y mientras dura el conjuro puedes Mantenerlo para detectar de nuevo los pensamientos superficiales del objetivo. El objetivo no obtiene ninguna salvación adicional.";
SLOW;LENTIFICAR;two-actions;CONJURO;3;CONCENTRAR MANIPULAR;arcana, ocultista, primigenia;;;;30 pies (9 m); 1 criatura;;Fortaleza; variable;"Dilatas el flujo de tiempo alrededor del objetivo, lentificando sus acciones.
Éxito crítico El objetivo no resulta afectado Éxito El objetivo queda lentificado 1 durante 1 asalto.
Fallo El objetivo queda lentificado 1 durante 1 minuto.
Fallo crítico El objetivo queda lentificado 2 durante 1 minuto.";Potenciado (6.º) Puedes designar como objetivo hasta a 10 criaturas.
LEVITATE;LEVITAR;two-actions;CONJURO;3;CONCENTRAR MANIPULAR;arcana, ocultista;;;;toque; 1 objeto desatendido o criatura;;;voluntaria 5 minutos;Desafias a la gravedad y haces levitar el objetivo 5 pies (1,5 m) por encima del suelo. Puedes Mantener el conjuro para mover el objetivo 10 pies (3 m) hacia arriba o hacia abajo. Una criatura que flota en el aire debido a levitar sufre un penalizador -2 por circunstancia a las tiradas de ataque. Una criatura flotante puede invertir una acción de Interactuar para estabilizarse y negar dicho penalizador durante el resto de su turno. Si el objetivo está adyacente a un objeto fijo o a un terreno de la estabilidad adecuada, puede atravesar la superficie trepando (si la superficie es vertical, como un muro) o gateando (si la superficie es horizontal, como un techo). El DJ determina por qué superficies se puede trepar o gatear.;
EARTHBIND;LIGADURA TERRESTRE;two-actions;CONJURO;3;CONCENTRAR MANIPULAR TIERRA;arcana, primigenia;;;;120 pies (36 m); 1 criatura voladora;;Fortaleza; variable;"Utilizando el peso de la tierra, perturbas el vuelo del objetivo, con efectos que se basan en su salvación de Fortaleza. Si la criatura llega al suelo de forma segura, no sufre daño por caída.
Éxito crítico El objetivo no resulta afectado Éxito El objetivo cae de forma segura hasta 120 pies (36 m).
Fallo El objetivo cae de forma segura hasta 120 pies (36 m). Si llega al suelo, no puede Volar, levitar o abandonar el suelo de ninguna otra forma durante 1 asalto.
Fallo crítico El objetivo cae de forma segura hasta 120 pies (36 m).
Si llega al suelo, no puede Volar, levitar o abandonar el suelo de ninguna otra forma durante 1 minuto.";
